,strdatetime,utcdatetime,close,MA
15477,2017-06-26T22:27:00+08:00,1498487220.0,6510.0,6509.8
15478,2017-06-26T22:28:00+08:00,1498487280.0,6510.0,6509.65
15479,2017-06-26T22:29:00+08:00,1498487340.0,6510.0,6509.55
15480,2017-06-26T22:30:00+08:00,1498487400.0,6509.0,6509.5
15481,2017-06-26T22:31:00+08:00,1498487460.0,6510.0,6509.5
15482,2017-06-26T22:32:00+08:00,1498487520.0,6508.0,6509.45
15483,2017-06-26T22:33:00+08:00,1498487580.0,6509.0,6509.45
15484,2017-06-26T22:34:00+08:00,1498487640.0,6508.0,6509.4
15485,2017-06-26T22:35:00+08:00,1498487700.0,6509.0,6509.4
15486,2017-06-26T22:36:00+08:00,1498487760.0,6509.0,6509.45
15487,2017-06-26T22:37:00+08:00,1498487820.0,6508.0,6509.45
15488,2017-06-26T22:38:00+08:00,1498487880.0,6510.0,6509.55
15489,2017-06-26T22:39:00+08:00,1498487940.0,6511.0,6509.7
15490,2017-06-26T22:40:00+08:00,1498488000.0,6510.0,6509.75
15491,2017-06-26T22:41:00+08:00,1498488060.0,6509.0,6509.7
15492,2017-06-26T22:42:00+08:00,1498488120.0,6509.0,6509.55
15493,2017-06-26T22:43:00+08:00,1498488180.0,6507.0,6509.35
15494,2017-06-26T22:44:00+08:00,1498488240.0,6507.0,6509.2
15495,2017-06-26T22:45:00+08:00,1498488300.0,6507.0,6509.05
15496,2017-06-26T22:46:00+08:00,1498488360.0,6507.0,6508.85
15497,2017-06-26T22:47:00+08:00,1498488420.0,6507.0,6508.7
15498,2017-06-26T22:48:00+08:00,1498488480.0,6508.0,6508.6
15499,2017-06-26T22:49:00+08:00,1498488540.0,6508.0,6508.5
15500,2017-06-26T22:50:00+08:00,1498488600.0,6507.0,6508.4
15501,2017-06-26T22:51:00+08:00,1498488660.0,6507.0,6508.25
15502,2017-06-26T22:52:00+08:00,1498488720.0,6506.0,6508.15
15503,2017-06-26T22:53:00+08:00,1498488780.0,6506.0,6508.0
15504,2017-06-26T22:54:00+08:00,1498488840.0,6506.0,6507.9
15505,2017-06-26T22:55:00+08:00,1498488900.0,6503.0,6507.6
15506,2017-06-26T22:56:00+08:00,1498488960.0,6503.0,6507.3
15507,2017-06-26T22:57:00+08:00,1498489020.0,6502.0,6507.0
15508,2017-06-26T22:58:00+08:00,1498489080.0,6500.0,6506.5
15509,2017-06-26T22:59:00+08:00,1498489140.0,6501.0,6506.0
15510,2017-06-26T23:00:00+08:00,1498489200.0,6498.0,6505.4
15511,2017-06-26T23:01:00+08:00,1498489260.0,6497.0,6504.8
15512,2017-06-26T23:02:00+08:00,1498489320.0,6502.0,6504.45
15513,2017-06-26T23:03:00+08:00,1498489380.0,6502.0,6504.2
15514,2017-06-26T23:04:00+08:00,1498489440.0,6503.0,6504.0
15515,2017-06-26T23:05:00+08:00,1498489500.0,6502.0,6503.75
15516,2017-06-26T23:06:00+08:00,1498489560.0,6502.0,6503.5
15517,2017-06-26T23:07:00+08:00,1498489620.0,6503.0,6503.3
15518,2017-06-26T23:08:00+08:00,1498489680.0,6500.0,6502.9
15519,2017-06-26T23:09:00+08:00,1498489740.0,6501.0,6502.55
15520,2017-06-26T23:10:00+08:00,1498489800.0,6503.0,6502.35
15521,2017-06-26T23:11:00+08:00,1498489860.0,6503.0,6502.15
15522,2017-06-26T23:12:00+08:00,1498489920.0,6506.0,6502.15
15523,2017-06-26T23:13:00+08:00,1498489980.0,6503.0,6502.0
15524,2017-06-26T23:14:00+08:00,1498490040.0,6504.0,6501.9
15525,2017-06-26T23:15:00+08:00,1498490100.0,6506.0,6502.05
15526,2017-06-26T23:16:00+08:00,1498490160.0,6506.0,6502.2
15527,2017-06-26T23:17:00+08:00,1498490220.0,6506.0,6502.4
15528,2017-06-26T23:18:00+08:00,1498490280.0,6505.0,6502.65
15529,2017-06-26T23:19:00+08:00,1498490340.0,6505.0,6502.85
15530,2017-06-26T23:20:00+08:00,1498490400.0,6506.0,6503.25
15531,2017-06-26T23:21:00+08:00,1498490460.0,6503.0,6503.55
15532,2017-06-26T23:22:00+08:00,1498490520.0,6503.0,6503.6
15533,2017-06-26T23:23:00+08:00,1498490580.0,6505.0,6503.75
15534,2017-06-26T23:24:00+08:00,1498490640.0,6505.0,6503.85
15535,2017-06-26T23:25:00+08:00,1498490700.0,6503.0,6503.9
15536,2017-06-26T23:26:00+08:00,1498490760.0,6503.0,6503.95
15537,2017-06-26T23:27:00+08:00,1498490820.0,6502.0,6503.9
15538,2017-06-26T23:28:00+08:00,1498490880.0,6503.0,6504.05
15539,2017-06-26T23:29:00+08:00,1498490940.0,6503.0,6504.15
15540,2017-06-27T09:00:00+08:00,1498525200.0,6495.0,6503.75
15541,2017-06-27T09:01:00+08:00,1498525260.0,6489.0,6503.05
15542,2017-06-27T09:02:00+08:00,1498525320.0,6489.0,6502.2
15543,2017-06-27T09:03:00+08:00,1498525380.0,6486.0,6501.35
15544,2017-06-27T09:04:00+08:00,1498525440.0,6487.0,6500.5
15545,2017-06-27T09:05:00+08:00,1498525500.0,6486.0,6499.5
15546,2017-06-27T09:06:00+08:00,1498525560.0,6486.0,6498.5
15547,2017-06-27T09:07:00+08:00,1498525620.0,6483.0,6497.35
15548,2017-06-27T09:08:00+08:00,1498525680.0,6483.0,6496.25
15549,2017-06-27T09:09:00+08:00,1498525740.0,6485.0,6495.25
15550,2017-06-27T09:10:00+08:00,1498525800.0,6488.0,6494.35
15551,2017-06-27T09:11:00+08:00,1498525860.0,6487.0,6493.55
15552,2017-06-27T09:12:00+08:00,1498525920.0,6488.0,6492.8
15553,2017-06-27T09:13:00+08:00,1498525980.0,6488.0,6491.95
15554,2017-06-27T09:14:00+08:00,1498526040.0,6486.0,6491.0
15555,2017-06-27T09:15:00+08:00,1498526100.0,6486.0,6490.15
15556,2017-06-27T09:16:00+08:00,1498526160.0,6484.0,6489.2
15557,2017-06-27T09:17:00+08:00,1498526220.0,6485.0,6488.35
15558,2017-06-27T09:18:00+08:00,1498526280.0,6485.0,6487.45
15559,2017-06-27T09:19:00+08:00,1498526340.0,6485.0,6486.55
15560,2017-06-27T09:20:00+08:00,1498526400.0,6487.0,6486.15
15561,2017-06-27T09:21:00+08:00,1498526460.0,6488.0,6486.1
